ds,y
2022-01-29,37936.38962730221
2022-01-30,38033.00444478686
2022-01-31,37639.14341177935
2022-02-01,38618.69851271176
2022-02-02,38110.06031074658
2022-02-03,36870.751790311275
2022-02-04,38707.10370560352
2022-02-05,41542.708410126
2022-02-06,41641.7760563115
2022-02-07,43155.50004180576
2022-02-08,43938.226005165794
2022-02-09,44010.322627053145
2022-02-10,44410.87181983592
2022-02-11,43260.55947938237
2022-02-12,42423.94044676922
2022-02-13,42463.33879280509
2022-02-14,42328.92211231977
2022-02-15,43938.85636814849
2022-02-16,44047.593890104115
2022-02-17,42705.24488625423
2022-02-18,40486.067164184955
2022-02-19,40151.82991925338
2022-02-20,38861.56912285757
2022-02-21,38556.60294425696
2022-02-22,37366.613824103784
2022-02-23,38204.721964758595
2022-02-24,36181.84025343768
2022-02-25,38864.37192358553
2022-02-26,39270.833333545575
2022-02-27,38779.54410642976
2022-02-28,39423.58576026612
2022-03-01,43662.86952952146
2022-03-02,44090.96495783129
2022-03-03,43161.619746470096
2022-03-04,40995.7250133253
2022-03-05,39230.62246345636
2022-03-06,39116.76273118436
2022-03-07,38325.53193441153
2022-03-08,38674.98138264244
2022-03-09,41560.70519114255
2022-03-10,39681.34170610669
2022-03-11,39012.74914785687
2022-03-12,39166.345262901516
2022-03-13,38971.116507608465
2022-03-14,38762.57291640115
2022-03-15,39050.17886213724
2022-03-16,40266.2985624923
2022-03-17,40932.37487891276
2022-03-18,40979.281554752386
2022-03-19,41881.18116441476
2022-03-20,41686.29116027675
2022-03-21,41152.34398576194
2022-03-22,42479.15144199363
2022-03-23,42288.34379148611
2022-03-24,43248.474528262646
2022-03-25,44325.72813968897
2022-03-26,44467.76721813477
2022-03-27,44999.434131089365
2022-03-28,47311.724959557294
2022-03-29,47600.56047119338
2022-03-30,47301.29335985463
2022-03-31,46733.145591577915
2022-04-01,45625.559283654286
2022-04-02,46513.99850659166
2022-04-03,46438.97444989607
2022-04-04,46118.9458867445
2022-04-05,46393.539063344935
2022-04-06,44685.89579354309
2022-04-07,43523.74460267487
2022-04-08,43361.11936417995
2022-04-09,42545.55676677912
2022-04-10,42853.05785731596
2022-04-11,41291.53796907431
2022-04-12,39994.9145924884
2022-04-13,40505.02693712239
2022-04-14,40740.42097173264
2022-04-15,40280.98007549342
2022-04-16,40468.85720040304
2022-04-17,40379.4216513658
2022-04-18,39732.11569222863
2022-04-19,41090.56992929218
2022-04-20,41488.79737479368
2022-04-21,41733.18617441332
2022-04-22,40166.42640786148
2022-04-23,39760.17505140151
2022-04-24,39695.983021980224
2022-04-25,39268.72668767209
2022-04-26,39705.12446461245
2022-04-27,38840.05787340934
2022-04-28,39624.642273301455
2022-04-29,39123.06006301128
2022-04-30,38563.16361682872
2022-05-01,38177.84953686325
2022-05-02,38738.91042272811
2022-05-03,38289.90874220308
2022-05-04,38839.06899936832
2022-05-05,38473.049922550985
2022-05-06,36204.075539513215
2022-05-07,35946.05229873305
2022-05-08,34708.27065105425
2022-05-09,32752.557435854207
2022-05-10,31370.268267343145
2022-05-11,30594.167541010047
2022-05-12,28393.772884854327
2022-05-13,30154.389233389214
2022-05-14,29394.083268573777
2022-05-15,30107.84304019322
2022-05-16,29986.70752003009
2022-05-17,30271.708005964385
2022-05-18,29600.6060735308
2022-05-19,29545.184866559863
2022-05-20,29799.685102297335
2022-05-21,29340.183081905965
2022-05-22,29787.392946019187
2022-05-23,30081.824292704347
2022-05-24,29308.430916023397
2022-05-25,29742.78199204765
2022-05-26,29444.36642111556
2022-05-27,28898.95686892856
2022-05-28,28889.834227530155
2022-05-29,29141.413578045165
2022-05-30,30591.33053077116
2022-05-31,31695.0693267522
2022-06-01,31069.22081666492
2022-06-02,30045.581931114808
2022-06-03,29991.06604218492
2022-06-04,29703.74801850825
2022-06-05,29818.172306013796
2022-06-06,31222.76679506853
2022-06-07,30003.221400679096
2022-06-08,30449.551103181104
2022-06-09,30237.135064199323
2022-06-10,29650.78773101741
2022-06-11,28881.993358820957
2022-06-12,27661.292983727722
2022-06-13,24261.581563120933
2022-06-14,22185.178411591936
2022-06-15,21357.047392480174
2022-06-16,21440.373651686048
2022-06-17,20689.719709972425
2022-06-18,19463.01502605148
2022-06-19,19384.894759745275
2022-06-20,20309.651222613807
2022-06-21,20994.60169655639
2022-06-22,20303.260042430284
2022-06-23,20487.876584421432
2022-06-24,21078.576025996295
2022-06-25,21277.334153554468
2022-06-26,21355.9923717531
2022-06-27,21048.369066398405
2022-06-28,20708.24861508405
2022-06-29,20145.960168888883
2022-06-30,19349.008752776208
2022-07-01,19532.84350912132
2022-07-02,19226.430007105337
2022-07-03,19159.3054491972
2022-07-04,19495.40780228063
2022-07-06,20167.420153553507
2022-07-07,20769.905767884313
2022-07-08,21753.173947254774
